City,Province,Year,Month,Weather_Variable,Pollutant,Correlation
ST. LEONARD,NEW BRUNSWICK,2016,12,Mean Temp (°C),CO,
ST. LEONARD,NEW BRUNSWICK,2016,12,Mean Temp (°C),O3,-0.2640725867534909
ST. LEONARD,NEW BRUNSWICK,2016,12,Mean Temp (°C),SO2,
ST. LEONARD,NEW BRUNSWICK,2016,12,Total Rain (mm),PM2.5,
ST. LEONARD,NEW BRUNSWICK,2016,12,Total Rain (mm),PM10,
ST. LEONARD,NEW BRUNSWICK,2016,12,Total Rain (mm),NO2,
ST. LEONARD,NEW BRUNSWICK,2016,12,Total Rain (mm),CO,
ST. LEONARD,NEW BRUNSWICK,2016,12,Total Rain (mm),O3,-0.35813897675028034
ST. LEONARD,NEW BRUNSWICK,2016,12,Total Rain (mm),SO2,
ST. LEONARD,NEW BRUNSWICK,2016,12,Total Snow (cm),PM2.5,
ST. LEONARD,NEW BRUNSWICK,2016,12,Total Snow (cm),PM10,
ST. LEONARD,NEW BRUNSWICK,2016,12,Total Snow (cm),NO2,
ST. LEONARD,NEW BRUNSWICK,2016,12,Total Snow (cm),CO,
ST. LEONARD,NEW BRUNSWICK,2016,12,Total Snow (cm),O3,0.22361475203996764
ST. LEONARD,NEW BRUNSWICK,2016,12,Total Snow (cm),SO2,
ST. LEONARD,NEW BRUNSWICK,2016,12,Spd of Max Gust (km/h),PM2.5,
ST. LEONARD,NEW BRUNSWICK,2016,12,Spd of Max Gust (km/h),PM10,
ST. LEONARD,NEW BRUNSWICK,2016,12,Spd of Max Gust (km/h),NO2,
ST. LEONARD,NEW BRUNSWICK,2016,12,Spd of Max Gust (km/h),CO,
ST. LEONARD,NEW BRUNSWICK,2016,12,Spd of Max Gust (km/h),O3,
ST. LEONARD,NEW BRUNSWICK,2016,12,Spd of Max Gust (km/h),SO2,
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,1,Mean Temp (°C),PM2.5,-0.3526997904912999
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,1,Mean Temp (°C),PM10,
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,1,Mean Temp (°C),NO2,-0.4137349203373459
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,1,Mean Temp (°C),CO,-0.3240707239100444
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,1,Mean Temp (°C),O3,0.46601666454263163
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,1,Mean Temp (°C),SO2,0.308304716709989
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,1,Total Rain (mm),PM2.5,
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,1,Total Rain (mm),PM10,
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,1,Total Rain (mm),NO2,
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,1,Total Rain (mm),CO,
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,1,Total Rain (mm),O3,
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,1,Total Rain (mm),SO2,
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,1,Total Snow (cm),PM2.5,
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,1,Total Snow (cm),PM10,
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,1,Total Snow (cm),NO2,
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,1,Total Snow (cm),CO,
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,1,Total Snow (cm),O3,
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,1,Total Snow (cm),SO2,
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,1,Spd of Max Gust (km/h),PM2.5,-0.22380370022079532
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,1,Spd of Max Gust (km/h),PM10,
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,1,Spd of Max Gust (km/h),NO2,-0.05293110164445197
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,1,Spd of Max Gust (km/h),CO,-0.14769043861717313
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,1,Spd of Max Gust (km/h),O3,0.43471465544647986
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,1,Spd of Max Gust (km/h),SO2,0.5357747526792842
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,2,Mean Temp (°C),PM2.5,-0.2570121263908915
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,2,Mean Temp (°C),PM10,
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,2,Mean Temp (°C),NO2,-0.45980307157536593
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,2,Mean Temp (°C),CO,-0.49559879686004193
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,2,Mean Temp (°C),O3,0.4835592649294965
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,2,Mean Temp (°C),SO2,-0.09050556450811023
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,2,Total Rain (mm),PM2.5,
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,2,Total Rain (mm),PM10,
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,2,Total Rain (mm),NO2,
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,2,Total Rain (mm),CO,
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,2,Total Rain (mm),O3,
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,2,Total Rain (mm),SO2,
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,2,Total Snow (cm),PM2.5,
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,2,Total Snow (cm),PM10,
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,2,Total Snow (cm),NO2,
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,2,Total Snow (cm),CO,
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,2,Total Snow (cm),O3,
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,2,Total Snow (cm),SO2,
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,2,Spd of Max Gust (km/h),PM2.5,-0.0867043895424692
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,2,Spd of Max Gust (km/h),PM10,
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,2,Spd of Max Gust (km/h),NO2,-0.461706027072514
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,2,Spd of Max Gust (km/h),CO,-0.34522599449191155
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,2,Spd of Max Gust (km/h),O3,0.36396716057360606
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,2,Spd of Max Gust (km/h),SO2,0.17385627561852282
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,3,Mean Temp (°C),PM2.5,-0.01645872057644231
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,3,Mean Temp (°C),PM10,
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,3,Mean Temp (°C),NO2,0.07141332723222932
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,3,Mean Temp (°C),CO,-0.12944527698448383
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,3,Mean Temp (°C),O3,0.019779510703167552
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,3,Mean Temp (°C),SO2,0.3001483233857649
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,3,Total Rain (mm),PM2.5,
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,3,Total Rain (mm),PM10,
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,3,Total Rain (mm),NO2,
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,3,Total Rain (mm),CO,
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,3,Total Rain (mm),O3,
GRAND FALLS - WINDSOR,NEWFOUNDLAND AND LABRADOR,2015,3,Total Rain (mm),SO2,
